customer,state,customer_lifetime_value,response,coverage,education,effective_to_date,employment_status,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,year,month,day_week
BU79786,Washington,2763.519279,No,Basic,Bachelor,2011-02-24,Employed,F,56274.0,Suburban,Married,69.0,32,5,0,1,Corporate Auto,Offer1,Agent,384.811147,Two-Door Car,Medsize,2011,2,24
QZ44356,Arizona,6979.535903,No,Extended,Bachelor,2011-01-31,Unemployed,F,0.0,Suburban,Single,94.0,13,42,0,8,Personal Auto,Offer3,Agent,1131.464935,Four-Door Car,Medsize,2011,1,31
AI49188,Nevada,12887.43165,No,Premium,Bachelor,2011-02-19,Employed,F,48767.0,Suburban,Married,108.0,18,38,0,2,Personal Auto,Offer1,Agent,566.472247,Two-Door Car,Medsize,2011,2,19
WW63253,California,7645.861827,No,Basic,Bachelor,2011-01-20,Unemployed,M,0.0,Suburban,Married,106.0,18,65,0,7,Corporate Auto,Offer1,Call Center,529.881344,SUV,Medsize,2011,1,20
HB64268,Washington,2813.692575,No,Basic,Bachelor,2011-02-03,Employed,M,43836.0,Rural,Single,73.0,12,44,0,1,Personal Auto,Offer1,Agent,138.130879,Four-Door Car,Medsize,2011,2,3
OC83172,Oregon,8256.2978,Yes,Basic,Bachelor,2011-01-25,Employed,F,62902.0,Rural,Married,69.0,14,94,0,2,Personal Auto,Offer2,Web,159.383042,Two-Door Car,Medsize,2011,1,25
XZ87318,Oregon,5380.898636,Yes,Basic,College,2011-02-24,Employed,F,55350.0,Suburban,Married,67.0,0,13,0,9,Corporate Auto,Offer1,Agent,321.6,Four-Door Car,Medsize,2011,2,24
CF85061,Arizona,7216.100311,No,Premium,High-level-degree,2011-01-18,Unemployed,M,0.0,Urban,Single,101.0,0,68,0,4,Corporate Auto,Offer1,Agent,363.02968,Four-Door Car,Medsize,2011,1,18
DY87989,Oregon,24127.50402,Yes,Basic,Bachelor,2011-01-26,Unemployed,M,14072.0,Suburban,Divorced,71.0,13,3,0,2,Corporate Auto,Offer1,Agent,511.2,Four-Door Car,Medsize,2011,1,26
BQ94931,Oregon,7388.178085,No,Extended,College,2011-02-17,Employed,F,28812.0,Urban,Married,93.0,17,7,0,8,Special Auto,Offer2,Branch,425.527834,Four-Door Car,Medsize,2011,2,17
SX51350,California,4738.992022,No,Basic,College,2011-02-21,Unemployed,M,0.0,Suburban,Single,67.0,23,5,0,3,Personal Auto,Offer1,Agent,482.4,Four-Door Car,Small,2011,2,21
VQ65197,California,8197.197078,No,Basic,College,2011-01-06,Unemployed,F,0.0,Suburban,Married,110.0,27,87,0,3,Personal Auto,Offer2,Agent,528.0,SUV,Medsize,2011,1,6
DP39365,California,8798.797003,No,Premium,High-level-degree,2011-02-06,Employed,M,77026.0,Urban,Married,110.0,9,82,2,3,Corporate Auto,Offer2,Agent,472.029737,Four-Door Car,Medsize,2011,2,6
SJ95423,Arizona,8819.018934,Yes,Basic,High School or Below,2011-01-10,Employed,M,99845.0,Suburban,Married,110.0,23,25,1,8,Corporate Auto,Offer2,Branch,528.0,SUV,Medsize,2011,1,10
